date,sentiment
2021-01-31,-0.10504651454587778
2021-02-28,0.02628813197435898
2021-03-31,-0.06811906787118426
2021-04-30,-0.01241863318891437
2021-05-31,-0.02505866765239907
2021-06-30,-0.14560058915499344
2021-07-31,-0.041208153178470326
2021-08-31,-0.003145192025436295
2021-09-30,0.02318749250844121
2021-10-31,-0.02996165700535351
2021-11-30,-0.03231406413639585
2021-12-31,-0.00370007703752547
2022-01-31,-0.026841828061284823
2022-02-28,0.03989510338238262
2022-03-31,0.09224364237394184
2022-04-30,0.02150005185516712
2022-05-31,0.039237561808495795
2022-06-30,0.01888284460744924
2022-07-31,0.11564003825187683
2022-08-31,0.021969266363757324
2022-09-30,-0.00046181302706274803
2022-10-31,-0.09786863996940728
2022-11-30,0.16368938020120063
2022-12-31,0.031462271325290204
2023-01-31,0.007318903104169295
2023-02-28,0.03369468959826458
2023-03-31,-0.009120570699451491
2023-04-30,-0.006635224605660613
2023-05-31,-0.012580137043014953
2023-06-30,0.012207992724142969
2023-07-31,-0.06278014637820133
2023-08-31,-0.0038651552411817737
2023-09-30,-0.10408358477851314
2023-10-31,-0.003033880436097283
2023-11-30,0.0377469346956595
2023-12-31,0.03157069093697233
2024-01-31,-0.02968307804837022
2024-02-29,0.023586732227204726
2024-03-31,0.04174787262850936
2024-04-30,-0.02990365407239754
2024-05-31,0.031075461978270186
2024-06-30,-0.008423933401130713
2024-07-31,0.016525323328640415
2024-08-31,0.08414776096102393
2024-09-30,-0.0012989253784068907
2024-10-31,0.013079664029646665
2024-11-30,0.034785161659653695
2024-12-31,-0.047118456991113444
2025-01-31,-0.018269606199491462
2025-02-28,0.1115019189701839
2025-03-31,0.11408562475572462
2025-04-30,0.024264632650926984
2025-05-31,-0.08288257256760423
2025-06-30,-0.05214976957982539
2025-07-31,-0.139067433492021
2025-08-31,0.04251892425416581
2025-09-30,-0.17536884582624201
2025-10-31,-0.0729675954624223
2025-11-30,0.022711584387227483
2025-12-31,-0.05548328080644401
2026-01-31,-0.016934424168734908
2026-02-28,-0.011724436232312159
2026-03-31,0.05028681286175044
2026-04-30,0.018043586980081624
2026-05-31,0.17516477883327752
