date,sentiment_score
2021-01-31,0.02853809523809524
2021-02-28,0.11957943925233645
2021-03-31,0.042682962962962964
2021-04-30,0.07579537037037037
2021-05-31,0.09580483870967742
2021-06-30,0.06346796116504853
2021-07-31,0.041346902654867256
2021-08-31,0.06971623931623933
2021-09-30,0.04891801801801802
2021-10-31,0.07681682242990655
2021-11-30,0.06653157894736843
2021-12-31,0.03824180327868852
2022-01-31,0.06942110091743119
2022-02-28,0.032732978723404256
2022-03-31,0.060092
2022-04-30,0.08366666666666667
2022-05-31,0.025087628865979376
2022-06-30,0.04965
2022-07-31,0.047947142857142855
2022-08-31,0.007912087912087914
2022-09-30,0.05129240506329113
2022-10-31,0.013278082191780822
2022-11-30,0.09619655172413792
2022-12-31,0.08670470588235293
2023-01-31,0.07641125
2023-02-28,0.06554810126582279
2023-03-31,0.11011979166666667
2023-04-30,0.036496341463414635
2023-05-31,0.08673052631578947
2023-06-30,0.09372934782608695
2023-07-31,0.032290909090909085
2023-08-31,0.06636129032258065
2023-09-30,0.04025505617977528
2023-10-31,0.055558333333333335
2023-11-30,0.11141894736842105
2023-12-31,0.0656962962962963
2024-01-31,0.07669139784946237
2024-02-29,0.07987979797979798
2024-03-31,0.1190468085106383
2024-04-30,0.04900970873786408
2024-05-31,0.12241428571428573
2024-06-30,0.06720192307692308
2024-07-31,0.04819813084112149
2024-08-31,0.07867184466019417
2024-09-30,0.0593979797979798
2024-10-31,0.05380178571428572
2024-11-30,0.06566964285714286
2024-12-31,0.003927777777777776
2025-01-31,0.09022844036697247
2025-02-28,0.016350909090909093
2025-03-31,0.07640782608695651
2025-04-30,0.07448425925925926
2025-05-31,0.0426198275862069
2025-06-30,0.02503482142857143
2025-07-31,0.07218770491803278
2025-08-31,0.11817345132743363
2025-09-30,-0.016254471544715446
2025-10-31,0.08205934959349592
2025-11-30,0.0931394495412844
2025-12-31,0.04919519230769231
2026-01-31,0.04207943925233645
2026-02-28,0.0647010101010101
2026-03-31,0.022959677419354833
2026-04-30,0.04241891891891892
2026-05-31,-0.078475
